TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BBRC11;104,05;1,050000;13,23;105,11;0,98;139.116,65;10,63;1,43;16,04;167.125.202,99;8.766,00;;1.590.000,00
BNFS11;70,54;0,700000;15,68;77,91;0,90;84.005,35;7,53;-13,84;-4,65;54.538.305,59;5.635,00;;700.000,00
CXAG11;76,20;0,720000;11,77;110,52;0,70;130.271,26;3,29;0,90;11,22;231.047.940,66;11.583,00;;2.090.621,00
TVRI11;98,41;1,050000;12,72;104,34;0,94;1.081.889,00;3,48;4,67;16,77;1.661.003.760,44;60.159,00;;15.919.690,00
