TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BRHT11B;86,80;;0,00;61,04;1,42;;0,63;;;112.414.203,93;11,00;;1.841.677,00
BTHI11;42,50;0,305000;10,61;64,94;0,66;70.315,04;1,37;-28,17;-18,34;598.615.097,82;1.616,00;;9.218.512,00
BTHI12;45,00;0,560000;0,00;64,94;0,69;;1,37;;14,47;598.615.097,82;1.616,00;;9.218.512,00
BTHR11;0,00;0,190000;0,00;9,91;;;14,75;;;333.658.415,61;24,00;;33.675.336,00
HTMX11;137,47;1,000000;10,94;150,87;0,91;633.627,39;5,61;-15,59;29,11;435.716.588,99;35.503,00;;2.888.094,00
MGHT11;15,40;0,130000;0,00;23,09;0,69;9.325,43;11,50;-14,07;-31,11;30.332.271,38;3.647,00;;1.313.784,00
RECH11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
