TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
SIGR11;99,90;1,295000;0,00;9,40;10,63;100,00;1,59;;;185.921.831,30;9.946,00;;19.772.485,00
SNME11;9,65;0,150000;15,15;9,61;1,02;435.430,61;16,11;;;71.320.446,00;5.334,00;;7.418.243,00
SPDE11;1.266,67;28,000000;10,92;1.696,35;0,73;0,00;1,47;;;155.046.292,89;120,00;;91.400,00
SPMO11;122,00;0,430000;0,00;128,90;0,95;71.882,40;0,01;;;233.856.020,32;15,00;;1.814.306,00
SPXS11;8,79;0,092000;14,19;9,49;0,91;519.924,39;15,04;-0,94;17,70;191.673.572,26;19.939,00;;20.189.040,00
SRVD11;3,00;0,200000;0,00;0,17;17,65;0,00;0,00;;-24,61;15.907.185,35;106,00;;96.286.020,00
SURE11;0,00;0,600000;0,00;10,44;;;41,42;;;111.992.758,42;1,00;;10.728.379,00
TELF11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TELM11;9,88;0,256000;16,36;10,17;0,98;21.338,52;33,72;;;31.517.396,18;164,00;;3.100.500,00
TJKB11;256,80;2,900000;13,94;289,14;0,89;83.275,09;1,87;5,71;;336.740.617,68;527,00;;1.164.647,00
TSNM11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VDSV11;0,00;;0,00;822,16;;;8,62;;;31.354.633,88;84,00;;38.137,00
VLIQ11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VTVI11;0,00;;0,00;22,03;;;2,37;;;39.242.099,04;1,00;;1.780.984,00
VVRI11;91,00;0,350000;7,19;91,85;0,95;1.268,25;5,82;;;73.726.082,91;145,00;;802.683,00
WHGR11;9,17;0,100000;13,42;9,93;0,94;441.487,17;2,02;-2,38;16,36;306.908.909,19;15.552,00;;30.912.378,00
WSEC11;1,41;0,020354;56,68;1,47;0,96;1.533,00;103,39;-2,33;26,90;3.603.090,71;918,00;;2.456.510,00
ZAVC11;9,07;0,120000;17,51;10,18;0,87;51.562,26;22,40;;;36.480.081,37;662,00;;3.582.421,00
ZAVI11;10,06;0,110000;12,98;13,57;0,76;46.239,65;3,51;-1,27;5,00;159.184.562,26;2.410,00;;11.733.220,00
