TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VJFD11;148,01;0,850000;7,38;170,80;0,87;2.664,00;1,40;4,61;;832.834.160,32;104,00;;4.876.129,00
VOTS11;79,59;0,710000;10,37;93,75;0,86;1.703,90;7,49;-9,17;10,50;77.620.296,77;545,00;;827.913,00
VRTA11;79,13;0,850000;12,94;84,74;0,94;1.553.723,74;5,45;1,45;7,80;1.321.245.056,17;106.622,00;;15.592.424,00
VSEC11;0,21;0,080000;0,00;63,81;0,00;;3,50;-0,62;-83,16;118.155.565,38;8.102,00;;1.851.786,00
VSLH11;2,18;0,027000;16,70;10,23;0,21;150.633,22;4,30;-5,40;-24,12;305.365.567,56;63.720,00;;29.864.091,00
VTPL11;64,25;0,751604;4,67;119,68;0,54;66,00;0,76;;;165.909.411,12;125,00;;1.386.242,00
VTRT11;0,00;0,107508;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VVCR11;9,88;0,137651;12,80;10,24;0,97;4.291,61;0,42;-28,47;8,60;76.903.879,05;2.130,00;;7.508.332,00
XPCI11;82,60;0,880000;13,14;89,40;0,93;2.601.166,04;1,19;0,03;14,80;777.897.521,06;77.302,00;;8.701.551,00
YEES11;102,00;;0,00;100,93;1,01;68,00;2,33;;;24.219.069,83;132,00;;239.955,00
