TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
HCRI11;308,04;3,318412;16,97;276,21;1,12;36.451,00;1,72;16,54;26,33;55.242.140,96;2.970,00;;200.000,00
HUCG11;94,63;0,793000;5,19;128,09;0,74;3.192,06;0,67;;11,08;143.721.908,37;235,00;;1.122.000,00
HUSC11;96,01;1,050000;10,82;149,77;0,64;2.440,50;1,52;1,58;7,83;127.430.260,03;752,00;;850.821,00
HUSI11;1.220,00;8,684500;9,38;1.250,77;0,98;1.220,00;2,27;3,03;10,63;145.541.572,75;100,00;;116.362,00
NSLU11;208,42;1,730393;13,42;173,24;1,19;118.478,04;3,32;14,14;19,31;224.045.912,82;5.199,00;;1.293.286,00
NVHO11;11,01;0,089591;11,21;16,55;0,67;18.456,00;1,13;4,78;10,57;686.598.261,05;1.731,00;;41.494.533,00
