TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BVAR11;1.260,89;8,280000;6,09;779,11;1,62;1.260,00;0,43;-30,25;;487.364.437,52;128,00;;625.540,00
DLMT11;0,00;0,001617;0,00;0,51;;;1,59;-16,91;;6.801.386,29;9,00;;13.225.796,00
ERCR11;15.707,85;1.868,750000;0,00;14.305,53;1,10;0,00;0,90;;;33.989.943,79;9,00;;2.376,00
MAXR11;62,60;0,546288;6,61;93,54;0,67;337.481,48;3,50;-22,12;17,74;105.292.782,95;3.948,00;;1.125.655,00
RBRD11;41,17;0,550000;3,12;64,83;0,63;124.216,13;4,58;37,03;18,40;120.054.419,87;7.519,00;;1.851.786,00
RBVA11;9,91;0,090000;10,94;10,76;0,92;2.275.787,30;1,70;-2,91;14,36;1.680.363.368,13;89.939,00;;156.143.050,00
