TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
PRSV11;34,00;1,620000;0,00;114,11;0,30;481,76;0,08;28,92;-35,59;29.576.576,23;790,00;;259.201,00
PVBI11;78,66;0,450000;7,07;107,75;0,75;6.044.184,00;1,29;-10,46;5,00;2.923.278.235,33;166.221,00;;27.130.067,00
RBOP11;208,60;0,550000;7,46;740,67;0,28;15.209,13;7,73;-31,69;-20,08;75.299.675,11;2.686,00;;101.664,00
RBRP11;53,67;0,400000;8,87;81,84;0,66;5.689.654,13;1,09;13,50;14,84;996.771.305,63;57.786,00;;12.179.186,00
RCRB11;141,49;1,070000;7,31;199,33;0,70;1.119.082,83;0,23;2,44;14,70;735.657.153,20;24.381,00;;3.690.695,00
RDLI11;115,00;10,710000;25,13;121,06;0,95;6.776,20;11,40;;;232.945.405,35;236,00;;1.924.193,00
RECT11;38,44;0,450000;12,41;89,68;0,42;725.821,70;0,50;-3,37;1,54;766.218.200,69;49.710,00;;8.543.493,00
RNGO11;54,00;0,480000;7,67;83,35;0,65;88.734,00;1,27;-4,48;14,35;223.034.610,02;6.892,00;;2.676.000,00
SAIC11B;0,00;0,662215;0,00;50,84;;;0,24;;;72.683.242,21;45,00;;1.429.740,00
SFND11;83,07;0,100000;0,00;63,81;1,30;;3,50;115,88;;118.155.565,38;8.102,00;;1.851.786,00
SPTW11;40,90;0,450000;13,20;54,15;0,74;102.607,91;7,53;-0,86;14,39;97.359.161,28;17.812,00;;1.798.000,00
SPXC11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TBOF11;15,56;0,822740;0,00;63,81;0,24;;3,50;74,62;;118.155.565,38;8.102,00;;1.851.786,00
TEPP11;9,08;0,075000;11,37;9,55;0,95;3.173.680,43;1,62;11,30;22,62;474.009.318,45;29.878,00;;49.616.923,00
THRA11;138,50;0,130000;0,00;63,81;2,17;;3,50;90,73;;118.155.565,38;8.102,00;;1.851.786,00
TRNT11;94,00;0,070000;0,00;163,55;0,57;62.529,11;3,04;-14,19;-7,18;643.666.521,50;511,00;;3.935.562,00
TSER11;97,00;1,010000;13,12;96,81;1,00;194,00;5,21;1,37;8,74;143.810.780,96;19,00;;1.485.504,00
TSNC11;80,80;7,361195;0,00;79,45;1,01;188,00;6,46;-38,46;;86.348.492,00;104,00;;1.086.780,00
VINO11;5,52;0,045000;11,35;9,86;0,56;1.285.635,52;3,81;-4,49;-3,26;816.316.591,78;136.047,00;;82.826.295,00
VLJS11;1.141,14;28,819221;0,00;643,21;1,74;;0,03;;;16.767.656,82;9,00;;26.068,00
VLOL11;88,00;1,856441;0,00;63,81;1,38;0,00;3,50;14,56;-3,49;118.155.565,38;8.102,00;;1.851.786,00
VPPR11;21,90;0,070000;0,00;41,45;0,51;114.024,78;3,61;-42,64;-8,82;303.291.670,29;32.658,00;;7.316.171,00
VVCO11;14,97;0,323281;0,00;15,14;0,99;104.939,48;0,09;;19,09;149.870.184,87;2.486,00;;9.900.000,00
VVMR11;82,96;0,200000;1,95;89,54;0,95;45.436,17;1,02;-26,18;3,44;252.781.460,68;542,00;;2.823.180,00
XPCM11;8,00;0,020000;0,00;20,33;0,28;14.886,04;1,50;-34,84;-16,75;49.090.112,17;2,00;;2.414.570,00
