TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
FAED11;162,30;1,756119;12,60;222,40;0,72;76.715,22;1,54;3,40;17,60;153.986.723,68;4.004,00;;692.377,00
FCFL11;126,50;0,945788;8,53;124,59;1,02;93.485,26;0,49;3,25;12,66;432.812.166,50;2.948,00;;3.474.010,00
GESE11B;1.520,00;14,973763;0,00;63,81;23,82;;3,50;118,15;;118.155.565,38;8.102,00;;1.851.786,00
MINT11;96,50;0,749556;0,00;97,17;0,99;0,00;16,33;;;50.527.673,91;94,00;Ativa;520.000,00
RBED11;94,00;1,040000;0,00;0,00;;0,00;;15,30;2,30;0,00;10.734,00;Ativa;2.355.022,00
